Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Colourblindness,Hobbies - categories,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6276f80a800a30914ad06b37,5f9b9102dba230243a0266b6,TIMED-OUT,Not Applicable,2022-05-07T22:51:54.400000Z,,,,61074655.0,,228,"Spanish, English","No, I have no issues seeing colours","Economics, Health & Fitness, Video Games",22,Male,Mixed,Chile,Chile,Chile,Spanish,DATA_EXPIRED,DATA_EXPIRED
6276f80bce608833f61a1343,5ea975f4e3583b067234eb7f,APPROVED,Not Applicable,2022-05-07T22:51:57.345000Z,2022-05-07T23:08:18.197000Z,2022-05-09T15:28:17.261000Z,,981.0,175F631D,33,English,"No, I have no issues seeing colours",Music,22,Male,Mixed,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
6276f80da513773305ebb114,612088c6aac9e0d358ce634c,APPROVED,Not Applicable,2022-05-07T22:54:45.250000Z,2022-05-07T23:20:31.826000Z,2022-05-09T15:28:17.422000Z,,1547.0,175F631D,345,"English, German, Spanish","No, I have no issues seeing colours","Video Games, Music, Economics",30,Male,White,Chile,Chile,Chile,Spanish,Yes,Part-Time
6276f80f65d2a249658a306b,5f2352b4912f8710d7e186c8,APPROVED,Not Applicable,2022-05-07T22:51:59.099000Z,2022-05-07T23:23:17.443000Z,2022-05-09T15:28:17.588000Z,,1879.0,175F631D,464,"Italian, English","No, I have no issues seeing colours","Science, Video Games, Health & Fitness",23,Male,Mixed,Italy,Italy,Italy,Italian,Yes,Other
6276f810b060f169d9402fd2,5be064114c6bd000013368f3,RETURNED,Not Applicable,2022-05-07T22:52:00.761000Z,,,,,,553,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6276f812078c34a5b9f74b01,5f1f5fe94154031594d4e345,APPROVED,Not Applicable,2022-05-07T22:52:02.522000Z,2022-05-07T23:13:46.031000Z,2022-05-09T15:28:17.701000Z,,1304.0,175F631D,563,"Hungarian, English","No, I have no issues seeing colours","Literature, Health & Fitness, Science",37,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Unemployed (and job seeking)
6276f81a20a395081e1aea73,60fd7be50ef0ad8450c401bc,APPROVED,Not Applicable,2022-05-07T22:52:10.628000Z,2022-05-07T23:14:50.198000Z,2022-05-09T15:28:17.797000Z,,1360.0,175F631D,308,"Portuguese, English","No, I have no issues seeing colours","Music, Travelling, Marketing",25,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
6276f81aa513773305ebb115,61238d2e3074dad0861e0efa,APPROVED,Not Applicable,2022-05-07T22:52:14.912000Z,2022-05-07T23:23:33.960000Z,2022-05-09T15:28:17.906000Z,,1880.0,175F631D,353,"English, French, Portuguese, Spanish","No, I have no issues seeing colours","Economics, Health & Fitness, Music",34,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6276f820ec8a2b9d2f4b8697,5f2e19367e10b9181711e27a,APPROVED,Not Applicable,2022-05-07T22:52:16.531000Z,2022-05-07T23:10:04.563000Z,2022-05-09T15:28:17.993000Z,,1069.0,175F631D,199,"Spanish, English, French","No, I have no issues seeing colours","Art, Philosophy, Psychology",23,Male,Mixed,Mexico,Mexico,Mexico,Spanish,Yes,Part-Time
6276f82a2cb41b2f32c8ce1b,613ae0a6637b6edb9afc0feb,APPROVED,Not Applicable,2022-05-07T22:52:26.456000Z,2022-05-07T23:16:35.295000Z,2022-05-09T15:28:18.111000Z,,1449.0,175F631D,72,English,"No, I have no issues seeing colours","Art, Music, Travelling",24,Female,White,Mexico,Mexico,Mexico,Spanish,DATA_EXPIRED,DATA_EXPIRED
6276f82c40c390818da8509c,5fcc24a22987de29caf1c5c3,APPROVED,Not Applicable,2022-05-07T22:52:28.728000Z,2022-05-07T23:10:28.987000Z,2022-05-09T15:28:18.229000Z,,1081.0,175F631D,489,"Portuguese, English","No, I have no issues seeing colours","Psychology, Sociology, Marketing",25,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
6276f82f65699808e1778814,5fc42b855af10c82c2db3089,APPROVED,Not Applicable,2022-05-07T22:52:31.114000Z,2022-05-07T23:27:20.103000Z,2022-05-09T15:28:18.331000Z,,2089.0,175F631D,65,"English, Spanish","No, I have no issues seeing colours","Art, Sociology, Philosophy",36,Male,Mixed,Mexico,Mexico,Mexico,Spanish,DATA_EXPIRED,DATA_EXPIRED
6276f835eee4e5f4b506b573,61710ad6e031992acba7042a,APPROVED,Not Applicable,2022-05-07T22:52:44.161000Z,2022-05-07T23:25:08.975000Z,2022-05-09T15:28:18.490000Z,,1945.0,175F631D,55,English,"No, I have no issues seeing colours","Health & Fitness, Entrepreneurship, Music",37,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
6276f8360b787dc4001a92f0,601fe39124d634550d8a1d2e,APPROVED,Not Applicable,2022-05-07T22:52:38.218000Z,2022-05-07T23:13:01.116000Z,2022-05-09T15:28:18.613000Z,,1223.0,175F631D,134,"Spanish, English","No, I have no issues seeing colours","Music, Literature, Video Games",29,Female,White,Spain,Spain,Spain,Spanish,No,Full-Time
6276f83a471c4079f907bcb3,5e0a51337832252dbdd5e876,APPROVED,Not Applicable,2022-05-07T22:58:56.998000Z,2022-05-07T23:45:19.734000Z,2022-05-09T15:28:18.773000Z,,2783.0,NOCODE,540,English,"No, I have no issues seeing colours","Health & Fitness, Travelling, Politics",39,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
6276f8446e5f421049e38fe1,582a0f48429e67000168cef9,APPROVED,Not Applicable,2022-05-07T22:52:52.984000Z,2022-05-07T23:13:33.507000Z,2022-05-09T15:28:18.907000Z,,1241.0,175F631D,523,"English, Portuguese, Spanish","No, I have no issues seeing colours","Science, Literature, Music",32,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
6276f84b68b622067e8c8953,60e4c15e2016f8da7814f75e,APPROVED,Not Applicable,2022-05-07T22:52:59.182000Z,2022-05-07T23:11:18.213000Z,2022-05-09T15:28:19.045000Z,,1100.0,175F631D,225,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED
6276f8510842bf0f27fd10ea,5da903f3b5c28d0017745a1c,APPROVED,Not Applicable,2022-05-07T23:00:31.849000Z,2022-05-07T23:36:51.968000Z,2022-05-09T15:28:19.194000Z,,2181.0,175F631D,202,"Portuguese, Spanish, French, English","No, I have no issues seeing colours","Philosophy, Science, Video Games",25,Male,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,DATA_EXPIRED
6276f85522c83a4b71925ac1,6148b0ab3a48fe4ae337bf33,APPROVED,Not Applicable,2022-05-07T22:53:20.275000Z,2022-05-07T23:13:10.175000Z,2022-05-09T15:28:19.366000Z,,1190.0,175F631D,44,"Spanish, English","No, I have no issues seeing colours","Art, Music, Philosophy",21,Male,Other,Mexico,Mexico,Mexico,Spanish,DATA_EXPIRED,DATA_EXPIRED
6276f8557da3b3342d51a0e0,61038917dbab6d0d7f203eef,APPROVED,Not Applicable,2022-05-07T22:53:09.734000Z,2022-05-07T23:07:42.570000Z,2022-05-09T15:28:19.514000Z,,873.0,175F631D,195,"English, Spanish","No, I have no issues seeing colours","Art, Music, Video Games",26,Female,Asian,Mexico,Mexico,Mexico,Spanish,No,Full-Time
6276f856b38643f8e41ca810,61565f114cb5965dcad6d0dc,APPROVED,Not Applicable,2022-05-07T22:53:10.383000Z,2022-05-07T23:24:03.375000Z,2022-05-09T15:28:19.650000Z,,1853.0,175F631D,93,"Spanish, English","No, I have no issues seeing colours","Literature, Science, Video Games",24,Male,Mixed,Mexico,Mexico,Mexico,Spanish,DATA_EXPIRED,DATA_EXPIRED
6276f8597174a7b67b77c8eb,61550c1510ec9cfb4e054b83,APPROVED,Not Applicable,2022-05-07T22:53:13.553000Z,2022-05-07T23:08:34.082000Z,2022-05-09T15:28:19.763000Z,,921.0,175F631D,222,"Spanish, English","No, I have no issues seeing colours","Video Games, Mathematics, Entrepreneurship",24,Male,White,Mexico,Mexico,Mexico,Spanish,DATA_EXPIRED,DATA_EXPIRED
6276f862becc1de0839f61f8,5f7b60daa7bb4c0fea3dc605,TIMED-OUT,Not Applicable,2022-05-07T22:53:26.290000Z,,,,61074568.0,,148,"English, Spanish","No, I have no issues seeing colours","Science, Video Games, Art",40,Female,White,Spain,Spain,Spain,Spanish,DATA_EXPIRED,DATA_EXPIRED
6276f862e2c0220ff12fe3ca,5e3c7f23a7f9e9078a2a009a,APPROVED,Not Applicable,2022-05-07T22:53:22.041000Z,2022-05-07T23:14:59.189000Z,2022-05-09T15:28:19.900000Z,,1298.0,175F631D,345,"Portuguese, English","No, I have no issues seeing colours","Philosophy, Psychology, Video Games",23,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
6276f8656ca7927f6709104d,5f61d8946a529c04bdffd02d,APPROVED,Not Applicable,2022-05-07T22:53:27.566000Z,2022-05-07T23:06:06.559000Z,2022-05-09T15:28:20.018000Z,,759.0,175F631D,80,"English, German, Polish, Ukrainian, Spanish, Russian","No, I have no issues seeing colours","Video Games, Mathematics, Science",21,Male,White,Poland,Poland,Poland,Polish,Yes,Part-Time
6276f867ecdab7ee4a34fdee,614014b19c0f71d80ec584a0,APPROVED,Not Applicable,2022-05-07T22:53:27.229000Z,2022-05-07T23:20:35.161000Z,2022-05-09T15:28:20.167000Z,,1628.0,175F631D,155,"Spanish, English, Polish","No, I have no issues seeing colours","Art, Music, Video Games",22,Female,Other,Mexico,Mexico,Mexico,Spanish,Yes,Unemployed (and job seeking)
6276f86a800a30914ad06b3b,60aabc0e1d528011d925224c,APPROVED,Not Applicable,2022-05-07T22:53:33.436000Z,2022-05-07T23:17:40.021000Z,2022-05-09T15:28:20.286000Z,,1447.0,175F631D,354,"English, Portuguese","No, I have no issues seeing colours","Music, Sports, Video Games",28,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6276f86aadd0517ff60ab008,6087bfacd4e23fe0f68c9aa1,APPROVED,Not Applicable,2022-05-07T22:53:30.710000Z,2022-05-07T23:10:51.313000Z,2022-05-09T15:28:20.404000Z,,1041.0,175F631D,309,"English, Spanish","No, I have no issues seeing colours","Music, Politics, Video Games",25,Female,Other,Chile,Chile,Chile,Spanish,Yes,Unemployed (and job seeking)
