Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Bilingual,Highest education level completed,Literacy difficulties,Colourblindness,Hobbies - categories,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
65152bd0540284c94c9d5092,5dd012a97b6a661093d36b8e,APPROVED,2023-09-28T07:31:30.786000Z,2023-09-28T07:50:57.789000Z,2023-10-02T16:47:03.798000Z,2023-09-28T07:50:59.143000Z,1168.0,CE2K9TTL,1334,English,none just my native langauge,,,"Yes, I'm colourblind","Video Games, Psychology, Sociology",26,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,Not Applicable
651530d216a0dc4221f40ba8,650b2464cd025d05b6a75aed,APPROVED,2023-09-28T07:52:56.711000Z,2023-09-28T07:59:05.844000Z,2023-10-02T16:47:03.971000Z,2023-09-28T07:59:06.606000Z,370.0,CE2K9TTL,234,English,none just my native langauge,,,"Yes, I'm colourblind","Politics, Sports, Travelling",39,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
65153180af649e6a9cbbda89,63e51d45dc45fc301d4ea52b,APPROVED,2023-09-28T07:55:44.845000Z,2023-09-28T07:59:38.227000Z,2023-10-02T16:47:04.162000Z,2023-09-28T07:59:39.086000Z,234.0,CE2K9TTL,286,"English, Dutch",native language + one other language,,,"Yes, I'm colourblind","Mathematics, Science, Video Games",19,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
651531e024145c404b6ee88a,650aef0883195e21592237ec,APPROVED,2023-09-28T07:58:16.267000Z,2023-09-28T08:18:40.027000Z,2023-10-02T16:47:04.345000Z,2023-09-28T08:18:40.879000Z,1224.0,CE2K9TTL,192,DATA_EXPIRED,DATA_EXPIRED,,,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
65153248a8e03b1094927786,63f7c60b1e096c2df51e3071,APPROVED,2023-09-28T07:59:04.225000Z,2023-09-28T08:03:26.144000Z,2023-10-02T16:47:04.522000Z,2023-09-28T08:03:26.922000Z,262.0,is:CE2K9TTL,890,English,none just my native langauge,,,"Yes, I'm colourblind","Sports, Travelling, Psychology",41,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,Not Applicable
6515337eca223f6d41b15cc0,63f77f79278126e103659cf4,APPROVED,2023-09-28T08:04:57.868000Z,2023-09-28T08:11:45.660000Z,2023-10-02T16:47:04.675000Z,2023-09-28T08:11:46.919000Z,408.0,CE2K9TTL,786,English,none just my native langauge,,,"Yes, I'm colourblind","Sports, Video Games, Entrepreneurship",28,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,Not Applicable
651537975bb148f9191e5de2,5b20bb8668a5ed000173e0b4,APPROVED,2023-09-28T08:21:45.691000Z,2023-09-28T08:26:15.393000Z,2023-10-02T16:47:04.832000Z,2023-09-28T08:26:16.292000Z,270.0,CE2K9TTL,1977,English,none just my native langauge,,,"Yes, I'm colourblind","Sports, Music, Video Games",28,Male,White,United States,United States,United States,English,No,Part-Time,Not Applicable
65153c2c46bce8e36745ebd0,63ea44a0adefd2af8e13015c,APPROVED,2023-09-28T08:42:17.140000Z,2023-09-28T08:43:31.603000Z,2023-10-02T16:47:05.036000Z,2023-09-28T08:43:32.380000Z,75.0,NOCODE,397,"English, Hindi, Tamil",native language + three or more other languages,,,"Yes, I'm colourblind","Psychology, Travelling, Entrepreneurship",33,Male,Asian,India,United Kingdom,India,English,No,Full-Time,Not Applicable
65153df1fbdaa61ae8821bab,628ba7f30dfb8cb47abc2b40,APPROVED,2023-09-28T08:49:17.889000Z,2023-09-28T08:59:36.403000Z,2023-10-02T16:47:05.218000Z,2023-09-28T08:59:37.430000Z,619.0,CE2K9TTL,1189,English,none just my native langauge,,,"Yes, I'm colourblind","Music, Sports, Travelling",42,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,Not Applicable
65153e4d37bafd9262b98b4a,63d13c076dd249ca3a6bffbb,APPROVED,2023-09-28T08:50:21.614000Z,2023-09-28T08:56:33.969000Z,2023-10-02T16:47:05.403000Z,2023-09-28T08:56:34.823000Z,373.0,CE2K9TTL,1021,"Chinese, English",native language + one other language,,,"Yes, I'm colourblind","Health & Fitness, Travelling, Sports",41,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,Not Applicable
65153f5d523fa91888c9344b,63d13e0a872c3f8a47956a39,APPROVED,2023-09-28T08:55:04.642000Z,2023-09-28T09:05:10.701000Z,2023-10-02T16:47:05.555000Z,2023-09-28T09:05:55.834000Z,607.0,CE2K9TTL,67,English,none just my native langauge,,,"Yes, I'm colourblind","Video Games, Travelling, Politics",33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
651542df611bab15fd8452bf,642d957d5818c3b551dcb514,APPROVED,2023-09-28T09:09:55.984000Z,2023-09-28T09:16:26.389000Z,2023-10-02T16:47:05.791000Z,2023-09-28T09:16:27.209000Z,391.0,CE2K9TTL,629,English,none just my native langauge,,,"Yes, I'm colourblind","Music, Politics, Travelling",45,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,Not Applicable
651543953c220191853fb4e2,5f3d295755f8ed04b8a4dcbd,APPROVED,2023-09-28T09:12:56.124000Z,2023-09-28T09:22:13.876000Z,2023-10-02T16:47:05.945000Z,2023-09-28T09:22:14.798000Z,558.0,CE2K9TTL,93,English,none just my native langauge,,,"Yes, I'm colourblind","Video Games, Sports, Science",29,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
65154a4f76e8cbe4385d3523,63f018abf8a9cc18acee5799,APPROVED,2023-09-28T09:41:39.558000Z,2023-09-28T09:58:01.724000Z,2023-10-02T16:47:06.137000Z,2023-09-28T09:58:02.533000Z,983.0,is:CE2K9TTL,360,English,none just my native langauge,,,"Yes, I'm colourblind",Video Games,31,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
65154b72ae90fc8ce354caed,5e31e1632878161c9923f90e,APPROVED,2023-09-28T09:46:37.637000Z,2023-09-28T10:09:30.391000Z,2023-10-02T16:47:06.306000Z,2023-09-28T10:09:31.242000Z,1373.0,CE2K9TTL,420,English,none just my native langauge,,,"Yes, I'm colourblind","Art, Music, Science",77,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,"Not in paid work (e.g. homemaker', 'retired or disabled)",Not Applicable
65154e3825112ff6e5f530c6,65046a5b83113a5454de0d84,APPROVED,2023-09-28T09:58:21.097000Z,2023-09-28T10:12:48.579000Z,2023-10-02T16:47:06.469000Z,2023-09-28T10:12:49.373000Z,868.0,CE2K9TTL,308,English,native language + one other language,,,"Yes, I'm colourblind","Art, Health & Fitness, Literature",35,Male,Black,Nigeria,United Kingdom,Nigeria,English,Yes,DATA_EXPIRED,Not Applicable
65154ea90a58bc7fafe4c859,63d16db590b1cad99178a991,APPROVED,2023-09-28T10:08:50.960000Z,2023-09-28T10:17:54.972000Z,2023-10-02T16:47:06.670000Z,2023-09-28T10:17:56.287000Z,545.0,CE2K9TTL,375,English,none just my native langauge,,,"Yes, I'm colourblind","Economics, Health & Fitness, Science",27,Male,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,Not Applicable
651556096628a8e1f31a2f4b,63d3fa5f9ca6d38022920258,APPROVED,2023-09-28T10:31:40.194000Z,2023-09-28T10:35:47.026000Z,2023-10-02T16:47:06.859000Z,2023-09-28T10:35:47.804000Z,247.0,CE2K9TTL,483,English,none just my native langauge,,,"Yes, I'm colourblind","Economics, Politics, Travelling",21,Male,White,United States,United Kingdom,United Kingdom,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)",Not Applicable
651559eecad0dbb06c0688eb,5abdef1be1099600016a49d5,APPROVED,2023-09-28T10:48:14.214000Z,2023-09-28T10:54:15.553000Z,2023-10-02T16:47:07.034000Z,2023-09-28T10:54:16.316000Z,362.0,CE2K9TTL,266,English,none just my native langauge,,,"Yes, I'm colourblind","Video Games, Health & Fitness, Sports",53,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
65155d5920dbf58ab7dfaf14,640f4e73468a5f639101e483,APPROVED,2023-09-28T11:02:55.286000Z,2023-09-28T11:33:08.840000Z,2023-10-02T16:47:07.255000Z,2023-09-28T11:33:09.871000Z,1814.0,CE2K9TTL,1224,English,none just my native langauge,,,"Yes, I'm colourblind","Psychology, Sociology, Sports",57,Male,White,United States,United States,United States,English,Yes,Full-Time,Not Applicable
651560147258a3548a0c2daa,5f315cecbe54fd0d2b853c89,APPROVED,2023-09-28T11:14:31.019000Z,2023-09-28T11:20:12.223000Z,2023-10-02T16:47:07.434000Z,2023-09-28T11:20:13.098000Z,342.0,CE2K9TTL,481,English,none just my native langauge,,,"Yes, I'm colourblind","Politics, Sports, Music",27,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,Not Applicable
65156277259aee58ae734ac2,63ec8f5a027af23c30842450,APPROVED,2023-09-28T11:24:43.185000Z,2023-09-28T11:30:03.561000Z,2023-10-02T16:47:07.600000Z,2023-09-28T11:30:04.290000Z,321.0,CE2K9TTL,594,English,none just my native langauge,,,"Yes, I'm colourblind","Health & Fitness, Music, Politics",31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,Not Applicable
651570bc57e29af301a01124,5bf001c94863520001b1ca03,APPROVED,2023-09-28T12:25:35.426000Z,2023-09-28T12:30:56.255000Z,2023-10-02T16:47:07.769000Z,2023-09-28T12:30:57.603000Z,321.0,CE2K9TTL,479,English,native language + one other language,,,"Yes, I'm colourblind","Video Games, Science, Psychology",40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
6515760b5651a2d95fa1f90b,64d54c5c5e692e1ecb0a1793,APPROVED,2023-09-28T12:49:17.999000Z,2023-09-28T13:00:58.294000Z,2023-10-02T16:47:07.951000Z,2023-09-28T13:03:10.549000Z,701.0,CE2K9TTL,150,English,none just my native langauge,,,"Yes, I'm colourblind","Literature, Music, Politics",56,Male,White,United States,United States,United States,English,No,Full-Time,Not Applicable
65159a3a77e88cd592defa62,648a1f02e406361ac6ed6b51,APPROVED,2023-09-28T15:22:42.182000Z,2023-09-28T15:29:55.510000Z,2023-10-02T16:47:08.124000Z,2023-09-28T15:29:57.007000Z,434.0,CE2K9TTL,507,English,none just my native langauge,,,"Yes, I'm colourblind","Art, Literature, Entrepreneurship",73,Male,White,United States,United States,United States,English,No,Part-Time,Not Applicable
65159fa8b57f325df8eee74d,605a61833c69e6bf7a623dc3,APPROVED,2023-09-28T15:45:48.610000Z,2023-09-28T15:50:18.715000Z,2023-10-02T16:47:08.311000Z,2023-09-28T15:50:20.065000Z,271.0,CE2K9TTL,1127,"English, French",native language + one other language,,,"Yes, I'm colourblind","Economics, Science, Video Games",26,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
6515a23b1d33c042291ea7c5,63d6756d6b06005c43c7c88e,APPROVED,2023-09-28T15:56:46.781000Z,2023-09-28T16:02:06.768000Z,2023-10-02T16:47:08.530000Z,2023-09-28T16:02:09.524000Z,320.0,CE2K9TTL,139,English,none just my native langauge,,,"Yes, I'm colourblind","Entrepreneurship, Economics, Video Games",41,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,Not Applicable
6515adcdb07806b61e9822dd,63ed34dbabf4b9bf03455481,APPROVED,2023-09-28T16:46:07.654000Z,2023-09-28T17:02:11.314000Z,2023-10-02T16:47:08.701000Z,2023-09-28T17:02:12.170000Z,964.0,CE2K9TTL,598,"English, Japanese, Swahili, Urdu, Hindi",native language + three or more other languages,,,"Yes, I'm colourblind","Video Games, Science, Sports",29,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
6515b046d49fedb0527702b2,5ccd7ddc629bea0013d89f42,APPROVED,2023-09-28T16:56:41.133000Z,2023-09-28T17:01:50.562000Z,2023-10-02T16:47:08.888000Z,2023-09-28T17:01:52.796000Z,310.0,CE2K9TTL,26,English,none just my native langauge,,,"Yes, I'm colourblind","Science, Health & Fitness, Sports",19,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
6515b41c2763794d01bac4ae,64ed2750464c77e6b6fca2c8,APPROVED,2023-09-28T17:13:25.630000Z,2023-09-28T17:20:13.781000Z,2023-10-02T16:47:09.058000Z,2023-09-28T17:20:14.729000Z,409.0,CE2K9TTL,71,English,none just my native langauge,,,"Yes, I'm colourblind","Video Games, Health & Fitness, Science",33,Male,White,New Zealand,New Zealand,New Zealand,English,Yes,Full-Time,Not Applicable
6515b9392f16ef657120bb11,63b6c0863cac38cef51210a4,APPROVED,2023-09-28T17:34:56.204000Z,2023-09-28T17:52:53.979000Z,2023-10-02T16:47:09.252000Z,2023-09-28T17:52:54.803000Z,1078.0,CE2K9TTL,1469,English,none just my native langauge,,,"Yes, I'm colourblind","Philosophy, Science, Video Games",35,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking),Not Applicable
6515ba9945cedfdde1e171a4,63d8966cb1c8fda2f6006864,APPROVED,2023-09-28T17:41:20.925000Z,2023-09-28T17:55:33.703000Z,2023-10-02T16:47:09.464000Z,2023-09-28T17:55:34.817000Z,853.0,CE2K9TTL,754,"English, Italian",native language + one other language,,,"Yes, I'm colourblind","Health & Fitness, Psychology, Economics",37,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,Not Applicable
6515bf2f4b3dabfacc8ede2e,599c56736b939900012da52c,APPROVED,2023-09-28T18:00:18.885000Z,2023-09-28T18:10:28.657000Z,2023-10-02T16:47:09.649000Z,2023-09-28T18:10:29.482000Z,610.0,CE2K9TTL,171,English,none just my native langauge,,,"Yes, I'm colourblind","Travelling, Music, Video Games",31,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
6515c2582763794d01bac6f8,63d3ff13c170f19987725d18,APPROVED,2023-09-28T18:13:47.178000Z,2023-09-28T18:18:21.658000Z,2023-10-02T16:47:09.854000Z,2023-09-28T18:18:25.804000Z,275.0,CE2K9TTL,343,English,none just my native langauge,,,"Yes, I'm colourblind","Music, Philosophy, Video Games",24,Male,White,United States,United States,United States,English,No,Full-Time,Not Applicable
6515c773b3d3acb7a1df023d,6081a85abf2e62aedccc90f2,APPROVED,2023-09-28T18:35:34.774000Z,2023-09-28T18:42:35.289000Z,2023-10-02T16:47:10.051000Z,2023-09-28T18:42:36.128000Z,421.0,CE2K9TTL,86,English,none just my native langauge,,,"Yes, I'm colourblind","Entrepreneurship, Video Games, Marketing",31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
6515d1e03389d3cf3fc33524,6448501a005e0fe9d154fa89,APPROVED,2023-09-28T19:20:03.473000Z,2023-09-28T19:28:14.092000Z,2023-10-02T16:47:10.244000Z,2023-09-28T19:28:14.929000Z,491.0,CE2K9TTL,461,English,none just my native langauge,,,"Yes, I'm colourblind","Video Games, Science, Music",27,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,Not Applicable
6515d8c1e5b8c8b3d564072b,5c190fe2f32daf0001e6edd7,APPROVED,2023-09-28T19:49:24.718000Z,2023-09-28T19:55:54.770000Z,2023-10-02T16:47:10.444000Z,2023-09-28T19:55:55.549000Z,391.0,CE2K9TTL,180,English,none just my native langauge,,,"Yes, I'm colourblind","Sports, Music, Video Games",30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,Not Applicable
6515e38c0d0989d59fa024ca,5cc33788666a7c0017b159df,APPROVED,2023-09-28T20:35:26.475000Z,2023-09-28T20:48:01.245000Z,2023-10-02T16:47:10.591000Z,2023-09-28T20:48:02.347000Z,755.0,CE2K9TTL,445,English,none just my native langauge,,,"Yes, I'm colourblind","Music, Philosophy, Video Games",24,Male,Asian,United States,United States,United States,English,Yes,Unemployed (and job seeking),Not Applicable
