Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Bilingual,Highest education level completed,Literacy difficulties,Hobbies - categories,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
65146627fdc1a7fbf0ce5ebb,5c46014e8ea58000016e3d9c,APPROVED,2023-09-27T17:28:21.190000Z,2023-09-27T17:42:20.007000Z,2023-09-27T20:33:34.835000Z,2023-09-27T17:42:21.095420Z,839.0,CE2K9TTL,959,English,none just my native langauge,High school diploma/A-levels,No,"Art, Video Games",39,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
651466863281c38b64237eeb,62fb99ba42c48ba113e1e799,APPROVED,2023-09-27T17:29:56.176000Z,2023-09-27T17:35:32.226000Z,2023-09-27T20:33:34.958000Z,2023-09-27T17:35:32.938040Z,337.0,CE2K9TTL,695,English,none just my native langauge,Undergraduate degree (BA/BSc/other),No,"Art, Literature, Music",53,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
651466e634e8dc1fcdba6014,64125a2a86177f9e395541f1,APPROVED,2023-09-27T17:31:23.484000Z,2023-09-27T17:36:00.236000Z,2023-09-27T20:33:35.075000Z,2023-09-27T17:36:00.962404Z,277.0,CE2K9TTL,321,English,none just my native langauge,Undergraduate degree (BA/BSc/other),No,"Music, Sports, Art",33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
651466f4a4bf7a9da5a2b2ad,60f5bcd053d1311b9fdb5b7a,APPROVED,2023-09-27T17:31:36.103000Z,2023-09-27T17:35:13.814000Z,2023-09-27T20:33:35.212000Z,2023-09-27T17:35:14.281286Z,218.0,CE2K9TTL,375,English,none just my native langauge,Undergraduate degree (BA/BSc/other),No,"Art, Literature, Politics",38,Male,White,Canada,Canada,Canada,English,No,Full-Time,
65146715a35dcbc3d986e1bd,5be3237a3193e90001798302,APPROVED,2023-09-27T17:32:09.654000Z,2023-09-27T17:36:58.178000Z,2023-09-27T20:33:35.330000Z,2023-09-27T17:36:58.809898Z,289.0,CE2K9TTL,3202,English,none just my native langauge,Graduate degree (MA/MSc/MPhil/other),Yes,"Sports, Music, Art",41,Male,White,United States,United States,United States,English,No,Full-Time,
651467a59f4bc389e16ee86f,63ea58a3ca6220457fced3c7,APPROVED,2023-09-27T17:34:33.848000Z,2023-09-27T18:08:30.429000Z,2023-09-27T20:33:35.470000Z,2023-09-27T18:08:33.099952Z,2037.0,CE2K9TTL,537,English,none just my native langauge,Graduate degree (MA/MSc/MPhil/other),No,"Science, Art, Music",28,Male,Black,DATA_EXPIRED,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,
651467cbb1559914340d69b3,59bb9e3a178f1b0001828b12,APPROVED,2023-09-27T17:35:10.151000Z,2023-09-27T17:48:34.888000Z,2023-09-27T20:33:35.597000Z,2023-09-27T17:48:35.329343Z,805.0,CE2K9TTL,2238,English,none just my native langauge,Undergraduate degree (BA/BSc/other),No,"Science, Art, Literature",80,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
651467d0d4460c7dd46b5170,5ecf9b46617a9b3dd56b3fe3,APPROVED,2023-09-27T17:35:16.729000Z,2023-09-27T17:41:00.483000Z,2023-09-27T20:33:35.720000Z,2023-09-27T17:41:06.319634Z,344.0,CE2K9TTL,1424,English,none just my native langauge,Technical/community college,No,"Art, Literature, Sports",77,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,
651467d28c799e7a208d77ba,5cf8cc7e95c070001721db8d,APPROVED,2023-09-27T17:35:24.309000Z,2023-09-27T17:41:50.032000Z,2023-09-27T20:33:35.840000Z,2023-09-27T17:41:50.839321Z,386.0,CE2K9TTL,1103,English,none just my native langauge,Graduate degree (MA/MSc/MPhil/other),Yes,"Art, Travelling, Psychology",36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time,
651468012da156b4ee13b273,63eaace3d44d695631f32db0,APPROVED,2023-09-27T17:36:01.267000Z,2023-09-27T18:07:16.436000Z,2023-09-27T20:33:35.963000Z,2023-09-27T18:07:19.882981Z,1876.0,CE2K9TTL,610,English,none just my native langauge,Graduate degree (MA/MSc/MPhil/other),No,"Art, Music, Sports",29,Male,Black,Nigeria,United Kingdom,United Kingdom,English,No,Full-Time,
65146818111c6edd480d04ab,63616110a960512f99f95814,APPROVED,2023-09-27T17:36:27.746000Z,2023-09-27T17:43:37.059000Z,2023-09-27T20:33:36.097000Z,2023-09-27T17:43:40.647160Z,430.0,CE2K9TTL,960,English,native language + one other language,Undergraduate degree (BA/BSc/other),No,"Music, Art, Psychology",25,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
651468a7492a06b2fa176e10,5c2ebf3e626018000134986f,APPROVED,2023-09-27T17:38:51.025000Z,2023-09-27T17:46:46.808000Z,2023-09-27T20:33:36.225000Z,2023-09-27T17:46:47.372004Z,476.0,CE2K9TTL,1335,English,none just my native langauge,Undergraduate degree (BA/BSc/other),No,Art,41,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
651468b0f3663886cbc54bc6,609d1ddf6aa3ba55f1bf4267,APPROVED,2023-09-27T17:39:14.716000Z,2023-09-27T18:17:40.234000Z,2023-09-27T20:33:36.405000Z,2023-09-27T18:17:40.739551Z,2306.0,CE2K9TTL,1425,English,none just my native langauge,Technical/community college,Rather not say,"Art, Music, Video Games",46,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
651469b79b5d1e06cdfdbaaf,63d13b77942cfa041b4e7e78,APPROVED,2023-09-27T17:43:23.963000Z,2023-09-27T17:58:33.371000Z,2023-09-27T20:33:36.537000Z,2023-09-27T17:58:34.018120Z,910.0,CE2K9TTL,691,English,none just my native langauge,High school diploma/A-levels,No,"Video Games, Art, Science",44,Male,White,United States,United States,United States,English,No,Part-Time,
65146a0bfb7e25c2d6cacab5,63ed50df25d0ea08696b393f,APPROVED,2023-09-27T17:45:02.354000Z,2023-09-27T17:51:22.205000Z,2023-09-27T20:33:36.666000Z,2023-09-27T17:51:22.762154Z,380.0,CE2K9TTL,557,English,none just my native langauge,Technical/community college,No,"Art, Music, Travelling",49,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,
65146a383618f4a011324a03,614fddfbf609da368336288b,APPROVED,2023-09-27T17:45:32.987000Z,2023-09-27T17:55:58.024000Z,2023-09-27T20:33:36.799000Z,2023-09-27T17:56:06.549429Z,626.0,CE2K9TTL,577,English,none just my native langauge,Undergraduate degree (BA/BSc/other),Yes,"Art, Music, Sociology",31,Male,White,United States,United States,United States,English,No,Full-Time,
65146a89cf3a90900660af8a,5f5b4aa99a3ef626581a1473,APPROVED,2023-09-27T17:46:57.046000Z,2023-09-27T17:50:55.124000Z,2023-09-27T20:33:36.925000Z,2023-09-27T17:50:55.582987Z,239.0,CE2K9TTL,6,English,none just my native langauge,Undergraduate degree (BA/BSc/other),No,"Art, Psychology, Music",24,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other,
65146af079b76ced4c4edecf,615d8a94a76a15626da937c5,APPROVED,2023-09-27T17:48:35.986000Z,2023-09-27T17:58:58.846000Z,2023-09-27T20:33:37.040000Z,2023-09-27T17:58:59.413224Z,623.0,CE2K9TTL,1017,English,none just my native langauge,Secondary education (e.g. GED/GCSE),No,"Art, Music, Video Games",25,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
65146b01d06e2a5885f40be5,650877966bed037b3c46c39b,APPROVED,2023-09-27T17:48:51.669000Z,2023-09-27T17:55:53.051000Z,2023-09-27T20:33:37.162000Z,2023-09-27T17:55:54.270184Z,422.0,CE2K9TTL,10,English,none just my native langauge,Technical/community college,No,"Art, Music, Video Games",21,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking),
65146b0abcd65d1d4ec00602,63cfee94707bca4ddee3eb05,APPROVED,2023-09-27T17:49:01.015000Z,2023-09-27T17:54:57.830000Z,2023-09-27T20:33:37.282000Z,2023-09-27T17:54:58.252569Z,357.0,CE2K9TTL,660,English,native language + one other language,Graduate degree (MA/MSc/MPhil/other),No,"Art, Economics, Sports",43,Male,Asian,Hong Kong,United Kingdom,United Kingdom,English,No,Full-Time,
65146b6c0d6efcfa951b8ce6,6346cd7b7d85c596d543e0ed,APPROVED,2023-09-27T17:50:40.090000Z,2023-09-27T17:58:35.685000Z,2023-09-27T20:33:37.399000Z,2023-09-27T17:58:36.179729Z,476.0,CE2K9TTL,551,English,none just my native langauge,High school diploma/A-levels,Yes,"Art, Health & Fitness, Travelling",33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
65146be9fc983740f6eca860,6361bfe81e0da4a406b33f1e,APPROVED,2023-09-27T17:52:46.226000Z,2023-09-27T18:00:14.860000Z,2023-09-27T20:33:37.517000Z,2023-09-27T18:00:51.609556Z,449.0,CE2K9TTL,671,English,none just my native langauge,High school diploma/A-levels,Yes,"Art, Sports, Video Games",31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking),
65146cee73eac1b4d1464249,5ded4666be656d3f8c93ba42,APPROVED,2023-09-27T18:00:29.695000Z,2023-09-27T18:08:13.272000Z,2023-09-27T20:33:37.640000Z,2023-09-27T18:08:13.823908Z,464.0,CE2K9TTL,750,English,none just my native langauge,High school diploma/A-levels,No,"Art, Sports, Video Games",25,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
65146e2b01bac7804c98137c,650624fe967e3e2546ffc90a,APPROVED,2023-09-27T18:02:37.187000Z,2023-09-27T18:08:35.628000Z,2023-09-27T20:33:37.785000Z,2023-09-27T18:08:36.476213Z,359.0,CE2K9TTL,9,English,none just my native langauge,High school diploma/A-levels,No,"Art, Video Games, Literature",27,Male,White,Canada,Canada,Canada,English,No,Unemployed (and job seeking),
65146e89e35cd53a35ec281c,5f3ec93efbd299158253f283,APPROVED,2023-09-27T18:03:56.384000Z,2023-09-27T18:13:43.661000Z,2023-09-27T20:33:37.923000Z,2023-09-27T18:13:47.611281Z,588.0,CE2K9TTL,1793,English,none just my native langauge,Undergraduate degree (BA/BSc/other),No,"Travelling, Music, Art",51,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
65146f3f075e81cdf51db37c,5ef78f819d93424af2af742b,APPROVED,2023-09-27T18:07:00.302000Z,2023-09-27T18:12:11.633000Z,2023-09-27T20:33:38.043000Z,2023-09-27T18:12:14.657979Z,312.0,CE2K9TTL,2958,English,none just my native langauge,Technical/community college,No,"Literature, Video Games, Art",41,Male,White,United States,United States,United States,English,No,DATA_EXPIRED,
65146f71e5c8656ae3fdbac9,631610af8e747093cd90e00d,APPROVED,2023-09-27T18:07:50.921000Z,2023-09-27T18:14:34.268000Z,2023-09-27T20:33:38.172000Z,2023-09-27T18:14:34.761782Z,404.0,CE2K9TTL,961,English,none just my native langauge,High school diploma/A-levels,No,"Art, Video Games, Music",38,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
65146fda012ee9eb350f9879,636551e106c841ca0ded046a,APPROVED,2023-09-27T18:09:48.176000Z,2023-09-27T18:15:54.664000Z,2023-09-27T20:33:38.315000Z,2023-09-27T18:15:56.594911Z,367.0,CE2K9TTL,109,English,none just my native langauge,Graduate degree (MA/MSc/MPhil/other),No,"Sociology, Art, Video Games",37,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
6514700b9e6ad11146cec0d2,633f03bb432dc8f74ab3a896,APPROVED,2023-09-27T18:10:22.861000Z,2023-09-27T18:15:37.062000Z,2023-09-27T20:33:38.449000Z,2023-09-27T18:15:37.549421Z,315.0,CE2K9TTL,1702,"Spanish, English",native language + one other language,Graduate degree (MA/MSc/MPhil/other),No,"Art, Philosophy, Politics",38,Male,Other,United States,United States,United States,English,No,Full-Time,
6514709aadf8f8666b237edc,55a44167fdf99b12b371c88c,APPROVED,2023-09-27T18:12:46.543000Z,2023-09-27T18:19:25.247000Z,2023-09-27T20:33:38.872000Z,2023-09-27T18:19:25.893219Z,399.0,CE2K9TTL,1312,"German, English",native language + one other language,High school diploma/A-levels,No,"Art, Literature, Music",27,Male,Black,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)",
651470baab6ddd61959d50c8,5cf1eed7a602eb0001e2e850,APPROVED,2023-09-27T18:13:20.417000Z,2023-09-27T18:17:49.264000Z,2023-09-27T20:33:38.993000Z,2023-09-27T18:17:49.802119Z,269.0,CE2K9TTL,2761,English,none just my native langauge,Undergraduate degree (BA/BSc/other),No,"Art, Science, Video Games",24,Male,White,United States,United States,United States,English,No,Full-Time,
651470e71e965021a69075bf,5e3040a2d1a553000cc9147b,APPROVED,2023-09-27T18:14:03.032000Z,2023-09-27T18:19:10.638000Z,2023-09-27T20:33:39.129000Z,2023-09-27T18:19:11.088402Z,308.0,CE2K9TTL,3541,English,none just my native langauge,High school diploma/A-levels,No,"Art, Music, Video Games",40,Male,White,United States,United States,United States,English,No,DATA_EXPIRED,
651471ec075baf0027f64880,6501bd8d2a46a663ccf582c3,APPROVED,2023-09-27T18:18:24.973000Z,2023-09-27T18:22:54.817000Z,2023-09-27T20:33:39.253000Z,2023-09-27T18:23:02.993631Z,270.0,CE2K9TTL,117,English,none just my native langauge,Undergraduate degree (BA/BSc/other),No,"Art, Literature, Music",54,Male,White,United States,United States,United States,English,No,Full-Time,
6514729053ee81adafebbe42,5de5dba9ff87c15699804260,APPROVED,2023-09-27T18:21:24.015000Z,2023-09-27T18:28:53.738000Z,2023-09-27T20:33:39.377000Z,2023-09-27T18:28:54.418617Z,450.0,CE2K9TTL,5908,English,none just my native langauge,High school diploma/A-levels,No,"Politics, Science, Art",67,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
651472e9de4462b4cd1b8cde,62b09bc02efbcc7d0dd81f3b,APPROVED,2023-09-27T18:22:37.108000Z,2023-09-27T18:29:46.878000Z,2023-09-27T20:33:39.509000Z,2023-09-27T18:29:47.384758Z,430.0,CE2K9TTL,1099,English,none just my native langauge,Technical/community college,Yes,"Music, Video Games, Art",27,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking),
65147323e70ed921f4c214b7,5fb7b7f50ffe7e37260a0b8a,APPROVED,2023-09-27T18:23:34.421000Z,2023-09-27T18:29:44.518000Z,2023-09-27T20:33:39.640000Z,2023-09-27T18:29:45.420598Z,371.0,CE2K9TTL,309,English,none just my native langauge,High school diploma/A-levels,No,"Art, Science, Video Games",26,Male,Black,Jamaica,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
