Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Total rejections,Approval rate,Gender,Fluent languages,Highest education level completed,Literacy difficulties,Colourblindness,Hobbies - categories,Bilingual,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
632cda512098865b57f1faea,5c67a81eeffdaa0001d7865d,APPROVED,2022-09-22T21:57:37.744000Z,2022-09-22T22:02:27.222000Z,2022-10-13T00:00:34.942000Z,2022-09-22T22:02:27.616696Z,290.0,175F631D,429,6.0,98.0,Man (including Trans Male/Trans Man),English,Technical/community college,No,"No, I have no issues seeing colours",Video Games,none just my native langauge,48,Male,Mixed,United Kingdom,New Zealand,New Zealand,English,No,Full-Time,
632cda5cffed6929dbcd66a6,5e1c60035941db44c623ef64,APPROVED,2022-09-22T21:57:51.880000Z,2022-09-22T22:01:44.548000Z,2022-10-13T00:00:35.049000Z,2022-09-22T22:01:44.943172Z,233.0,175F631D,380,4.0,99.0,Man (including Trans Male/Trans Man),English,Doctorate degree (PhD/other),No,"No, I have no issues seeing colours","Health & Fitness, Travelling, Psychology",none just my native langauge,27,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
632cda5fe1939c8388a87e08,5cc73bee30113f00161658b1,APPROVED,2022-09-22T21:58:02.230000Z,2022-09-22T22:02:46.502000Z,2022-10-13T00:00:35.153000Z,2022-09-22T22:02:46.822809Z,285.0,175F631D,406,1.0,100.0,Rather not say,English,Doctorate degree (PhD/other),No,"No, I have no issues seeing colours","Travelling, Mathematics, Science",none just my native langauge,51,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
632cda6578d531f12b7df3fa,5d138b1707a97100156c2ace,APPROVED,2022-09-22T21:58:01.396000Z,2022-09-22T22:25:08.580000Z,2022-10-13T00:00:35.282000Z,2022-09-22T22:25:08.971897Z,1628.0,175F631D,278,6.0,97.0,Woman (including Trans Female/Trans Woman),English,Secondary education (e.g. GED/GCSE),No,"No, I have no issues seeing colours","Psychology, Science, Economics",none just my native langauge,32,Female,White,New Zealand,New Zealand,New Zealand,English,No,Full-Time,
632cda65b0b6560fbb060191,5ef3d171bdc16e19057683e1,APPROVED,2022-09-22T21:58:00.887000Z,2022-09-22T22:02:34.145000Z,2022-10-13T00:00:35.402000Z,2022-09-22T22:02:34.556910Z,274.0,175F631D,374,0.0,100.0,Woman (including Trans Female/Trans Woman),"English, French, Italian",Undergraduate degree (BA/BSc/other),No,"No, I have no issues seeing colours","Psychology, Science, Music",native language + two other languages,25,Female,Mixed,Canada,Canada,Canada,English,Yes,Other,
632cda676bd5cc85f6f74bba,6137c4f7020ed6d8e764ee56,APPROVED,2022-09-22T21:58:02.472000Z,2022-09-22T22:00:48.102000Z,2022-10-13T00:00:35.530000Z,2022-09-22T22:00:48.615802Z,166.0,175F631D,428,6.0,98.0,Man (including Trans Male/Trans Man),English,High school diploma/A-levels,No,"No, I have no issues seeing colours","Sports, Travelling, Video Games",none just my native langauge,29,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
632cda697fe32b2cf31097f7,60c3c8f790736ad8d329816b,APPROVED,2022-09-22T21:58:01.295000Z,2022-09-22T22:06:18.745000Z,2022-10-13T00:00:35.655000Z,2022-09-22T22:06:19.140263Z,498.0,175F631D,297,1.0,100.0,Man (including Trans Male/Trans Man),English,Technical/community college,No,"No, I have no issues seeing colours","Sports, Video Games, Entrepreneurship",native language + one other language,29,Male,Black,South Africa,South Africa,South Africa,English,No,Unemployed (and job seeking),
632cda6d3ec254626af92e8a,5f1a13f46ab2850fa64b794d,APPROVED,2022-09-22T21:58:07.453000Z,2022-09-22T22:03:28.772000Z,2022-10-13T00:00:35.756000Z,2022-09-22T22:03:29.150662Z,322.0,175F631D,686,5.0,99.0,Woman (including Trans Female/Trans Woman),English,High school diploma/A-levels,Yes,"No, I have no issues seeing colours","Sports, Music, Health & Fitness",none just my native langauge,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED,
632cda789e852cf8c04afebb,61675a23b6e29e904a0ae954,APPROVED,2022-09-22T21:58:18.471000Z,2022-09-22T22:02:57.075000Z,2022-10-13T00:00:35.860000Z,2022-09-22T22:02:57.449760Z,279.0,175F631D,272,2.0,99.0,Woman (including Trans Female/Trans Woman),English,High school diploma/A-levels,No,"No, I have no issues seeing colours","Health & Fitness, Art, Entrepreneurship",none just my native langauge,31,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
632cda7dddd5ae7b2a5b027e,5e9fd839311b8018f88c99eb,APPROVED,2022-09-22T21:58:29.890000Z,2022-09-22T22:06:26.053000Z,2022-10-13T00:00:35.980000Z,2022-09-22T22:06:26.404919Z,477.0,175F631D,165,0.0,100.0,Woman (including Trans Female/Trans Woman),English,Undergraduate degree (BA/BSc/other),No,"No, I have no issues seeing colours","Entrepreneurship, Health & Fitness, Marketing",native language + three or more other languages,49,Female,Black,Zambia,South Africa,Zambia,English,No,Full-Time,
