Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Bilingual,Highest education level completed,Literacy difficulties,Colourblindness,Hobbies - categories,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
651496976a088bf628be4c59,5f5260b3bc9a930dad213f87,APPROVED,2023-09-27T20:54:51.665000Z,2023-09-27T21:05:29.011000Z,2023-09-28T17:02:43.702000Z,2023-09-27T21:05:29.808871Z,638.0,CE2K9TTL,204,"English, Urdu, Hindi, French",native language + two other languages,High school diploma/A-levels,No,"No, I have no issues seeing colours","Psychology, Science, Video Games",24,Male,Mixed,Pakistan,Canada,Canada,English,Yes,Unemployed (and job seeking),
651496acc1aee2f10d9a6faa,6158db93315bea523c3b5fcc,APPROVED,2023-09-27T20:55:13.762000Z,2023-09-27T20:59:50.500000Z,2023-09-28T17:02:43.863000Z,2023-09-27T20:59:50.964121Z,277.0,CE2K9TTL,56,"English, French",native language + one other language,Graduate degree (MA/MSc/MPhil/other),No,"No, I have no issues seeing colours","Literature, Politics, Philosophy",36,Male,White,Ireland,Ireland,Ireland,English,Yes,Other,
651496c1c5d31a9d32ca38e7,64f8de7d9dd1314e28166482,APPROVED,2023-09-27T20:55:37.893000Z,2023-09-27T21:06:42.964000Z,2023-09-28T17:02:44.035000Z,2023-09-27T21:06:43.461759Z,666.0,CE2K9TTL,14,English,none just my native langauge,Undergraduate degree (BA/BSc/other),No,"No, I have no issues seeing colours","Music, Video Games, Literature",33,Male,White,New Zealand,New Zealand,New Zealand,English,No,Full-Time,
651496c308059e95de14926c,5b77435f13c3580001b63f26,APPROVED,2023-09-27T20:55:33.632000Z,2023-09-27T21:01:37.084000Z,2023-09-28T17:02:44.174000Z,2023-09-27T21:01:37.528496Z,364.0,NOCODE,1981,English,none just my native langauge,Undergraduate degree (BA/BSc/other),No,"No, I have no issues seeing colours","Health & Fitness, Travelling, Sports",70,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED,
651496c8c457ec4dde46426b,5986ce0eb78fa90001adf2f2,APPROVED,2023-09-27T20:55:42.514000Z,2023-09-27T21:02:26.622000Z,2023-09-28T17:02:44.307000Z,2023-09-27T21:02:27.163166Z,405.0,CE2K9TTL,1863,English,none just my native langauge,Secondary education (e.g. GED/GCSE),No,"No, I have no issues seeing colours","Science, Travelling, Music",58,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
651496d0c1aee2f10d9a6fad,60dca45abca3eb229bafdedf,APPROVED,2023-09-27T20:58:29.086000Z,2023-09-27T21:09:42.125000Z,2023-09-28T17:02:44.507000Z,2023-09-27T21:10:04.250489Z,674.0,CE2K9TTL,642,English,none just my native langauge,Undergraduate degree (BA/BSc/other),No,"No, I have no issues seeing colours","Sports, Science, Music",35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
6514970cdc32a4255586e1b0,5bf461c32f48dd00016794ec,APPROVED,2023-09-27T20:57:01.227000Z,2023-09-27T20:58:33.528000Z,2023-09-28T17:02:44.703000Z,2023-09-27T20:58:34.032985Z,93.0,NOCODE,6,"English, Chinese",native language + two other languages,Technical/community college,Yes,"No, I have no issues seeing colours","Economics, Marketing, Sociology",28,Male,Asian,Canada,Canada,Canada,English,No,Unemployed (and job seeking),
651497203dd096fe40aa0946,606968fc4633f8b94786a4c8,APPROVED,2023-09-27T20:58:10Z,2023-09-27T21:06:28.093000Z,2023-09-28T17:02:44.886000Z,2023-09-27T21:06:28.602854Z,499.0,CE2K9TTL,351,English,native language + one other language,Undergraduate degree (BA/BSc/other),No,"No, I have no issues seeing colours","Entrepreneurship, Music, Video Games",27,Male,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking),
651497311f7c47e92b0376b6,5f6ee1e71b1cd7433ce58864,APPROVED,2023-09-27T20:57:25.823000Z,2023-09-27T21:05:50.389000Z,2023-09-28T17:02:45.032000Z,2023-09-27T21:05:50.836405Z,505.0,CE2K9TTL,340,English,none just my native langauge,Undergraduate degree (BA/BSc/other),No,"No, I have no issues seeing colours","Literature, Politics, Sports",38,Male,White,Ireland,Ireland,Ireland,English,No,Full-Time,
6514973aa06984d4954e3f3c,60ec5f9e9b8a3146ae4feac9,APPROVED,2023-09-27T20:57:35.551000Z,2023-09-27T21:09:36.337000Z,2023-09-28T17:02:45.220000Z,2023-09-27T21:10:02.952526Z,721.0,CE2K9TTL,1019,English,none just my native langauge,Technical/community college,No,"No, I have no issues seeing colours","Mathematics, Music, Entrepreneurship",59,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
