Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
64116f06b4fa4a4d64e0058f,612a3d97a2cc259f7ff9b580,APPROVED,2023-03-15T07:08:59.401000Z,2023-03-15T07:23:03Z,2023-03-28T12:28:14.484000Z,2023-03-15T07:23:03.393356Z,844.0,CE2K9TTL,609,56,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
64116f0a3f84b7c685591676,5c4935e29afd7b00019749ab,APPROVED,2023-03-15T07:08:58.271000Z,2023-03-15T07:20:12.350000Z,2023-03-28T12:28:14.595000Z,2023-03-15T07:20:12.756429Z,675.0,CE2K9TTL,1330,63,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
6411706d10f07ed46ca6f638,636675b4dd6bb79382d46c2b,APPROVED,2023-03-15T07:15:06.657000Z,2023-03-15T07:22:23.979000Z,2023-03-28T12:28:14.709000Z,2023-03-15T07:22:24.396572Z,438.0,CE2K9TTL,230,32,Male,White,New Zealand,United Kingdom,New Zealand,English,Yes,Full-Time,
641170f672ff2ef3cca861f0,5ea305678366db250adbaf7d,APPROVED,2023-03-15T07:17:10.554000Z,2023-03-15T07:26:38.500000Z,2023-03-28T12:28:14.823000Z,2023-03-15T07:26:38.865411Z,568.0,CE2K9TTL,928,37,Male,White,South Africa,United Kingdom,South Africa,English,No,Other,
641173397f99c8e1a690d34e,6086933c60b90ca10daeea67,APPROVED,2023-03-15T07:26:53.963000Z,2023-03-15T07:33:33.902000Z,2023-03-28T12:28:14.934000Z,2023-03-15T07:33:34.316289Z,400.0,CE2K9TTL,941,41,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
641175fc81c1f27ecfa6f62d,5e67eb62e3b2f70a42f915d1,APPROVED,2023-03-15T07:38:45.606000Z,2023-03-15T07:48:17.937000Z,2023-03-28T12:28:15.051000Z,2023-03-15T07:48:18.374674Z,573.0,Error - forget to copy code,120,58,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
64117633f26cd053b503cd93,5d6a924a9e02d2001514311a,APPROVED,2023-03-15T07:39:34.526000Z,2023-03-15T07:46:45.724000Z,2023-03-28T12:28:15.170000Z,2023-03-15T07:46:46.064948Z,432.0,CE2K9TTL,1215,29,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
641176eeedb98e4d1f2e79c5,6272f5f3d37c1c9e88c115a2,APPROVED,2023-03-15T07:42:40.737000Z,2023-03-15T07:52:32.815000Z,2023-03-28T12:28:15.290000Z,2023-03-15T07:52:33.242804Z,593.0,CE2K9TTL,809,45,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
641178da599877e5f12e7e75,608a98cff4761037d7b67d8a,APPROVED,2023-03-15T07:50:54.878000Z,2023-03-15T08:00:49.983000Z,2023-03-28T12:28:15.413000Z,2023-03-15T08:00:50.432907Z,596.0,CE2K9TTL,1064,58,Male,White,Isle of Man,United Kingdom,United Kingdom,English,No,Full-Time,
64117948599877e5f12e7e7e,5f61371454efa10bdcfc588d,APPROVED,2023-03-15T07:52:44.191000Z,2023-03-15T07:59:43.273000Z,2023-03-28T12:28:15.529000Z,2023-03-15T07:59:43.800804Z,420.0,CE2K9TTL,763,62,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
641179635f4c3ae87885b5a7,6287570360142b713b513e70,APPROVED,2023-03-15T07:53:13.785000Z,2023-03-15T08:01:41.569000Z,2023-03-28T12:28:15.645000Z,2023-03-15T08:01:42.040382Z,508.0,CE2K9TTL,654,28,Male,White,United States,United States,United States,English,No,Full-Time,
64117a74dc0f9d362eb2cb84,63169589b2fd7dd8f24702ba,APPROVED,2023-03-15T07:57:44.003000Z,2023-03-15T08:03:55.872000Z,2023-03-28T12:28:15.765000Z,2023-03-15T08:03:56.326830Z,372.0,CE2K9TTL,1219,47,Male,White,United States,United States,United States,English,No,Full-Time,
64117c854e5899bda1022b28,5d75136bf8d311000184a474,APPROVED,2023-03-15T08:06:36.504000Z,2023-03-15T08:20:46.820000Z,2023-03-28T12:28:15.879000Z,2023-03-15T08:20:47.168637Z,851.0,CE2K9TTL,272,42,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
64117c9bbbfaec62df06ca8e,62fb7948bd13412865275d1e,APPROVED,2023-03-15T08:06:51.293000Z,2023-03-15T08:14:25.199000Z,2023-03-28T12:28:15.996000Z,2023-03-15T08:14:25.629744Z,454.0,CE2K9TTL,275,52,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
64117edfaa24d6d4de71a2e6,5ea0b332440c6a0a2b78b2df,APPROVED,2023-03-15T08:16:37.023000Z,2023-03-15T08:32:20.875000Z,2023-03-28T12:28:16.111000Z,2023-03-15T08:32:21.536065Z,944.0,CE2K9TTL,1091,76,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
64118121c28f2da1f5229cec,63160f375a6aad006c2bce9b,APPROVED,2023-03-15T08:26:09.739000Z,2023-03-15T08:32:21.789000Z,2023-03-28T12:28:16.229000Z,2023-03-15T08:32:22.150691Z,373.0,CE2K9TTL,153,43,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
6411813b47b50733e849c9a7,5bf2f728bd9f150001f6cc42,APPROVED,2023-03-15T08:26:56.280000Z,2023-03-15T08:37:40.061000Z,2023-03-28T12:28:16.360000Z,2023-03-15T08:37:40.409951Z,644.0,is:CE2K9TTL,1952,57,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,DATA_EXPIRED,
6411841267bc97e31964d054,5dfa87ae0562057caa68989c,APPROVED,2023-03-15T08:38:45.399000Z,2023-03-15T08:49:32.787000Z,2023-03-28T12:28:16.785000Z,2023-03-15T08:49:33.183875Z,648.0,CE2K9TTL,1174,64,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
6411846c99549ac0bce7cae2,5e68d2b5576136000ba058a2,APPROVED,2023-03-15T08:40:15.276000Z,2023-03-15T08:49:06.083000Z,2023-03-28T12:28:16.902000Z,2023-03-15T08:49:06.503085Z,531.0,CE2K9TTL,1520,45,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
6411851329a961a886fc0e4f,5be1c6db93cab6000123baf9,APPROVED,2023-03-15T08:42:59.105000Z,2023-03-15T08:55:52.858000Z,2023-03-28T12:28:17.026000Z,2023-03-15T08:55:53.209662Z,774.0,CE2K9TTL,1468,67,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
6411867571c86364446b4dc8,63288c4c7c9cc5e61437b9b0,APPROVED,2023-03-15T08:48:56.014000Z,2023-03-15T08:54:26.225000Z,2023-03-28T12:28:17.163000Z,2023-03-15T08:54:26.572277Z,331.0,CE2K9TTL,282,29,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,
641186d0dfc36421d4cabd0e,62fce6a72effce63f4be6fde,APPROVED,2023-03-15T08:50:27.306000Z,2023-03-15T08:57:19.786000Z,2023-03-28T12:28:17.287000Z,2023-03-15T08:57:20.186075Z,413.0,CE2K9TTL,152,35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
641187a91dd38a3034e7cae1,5a30078e1f4fab00014991ba,APPROVED,2023-03-15T08:54:11.870000Z,2023-03-15T09:01:19.884000Z,2023-03-28T12:28:17.406000Z,2023-03-15T09:01:20.251782Z,429.0,CE2K9TTL,898,24,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Other,
64118812dfc36421d4cabd2c,5ad22ebba010190001b363e8,APPROVED,2023-03-15T08:55:51.396000Z,2023-03-15T09:08:57.456000Z,2023-03-28T12:28:17.522000Z,2023-03-15T09:08:59.578501Z,787.0,CE2K9TTL,865,35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
